,DATASET,TYPE,MODEL_TYPE,ZETA,FLIP,PROP,ACCURACY
308,THYROID,FLOW3,SGDClassifier,1,2,6,0.09281767955801105
309,THYROID,FLOW3,SGDClassifier,1,2,6,0.09281767955801105
310,THYROID,FLOW3,SGDClassifier,1,2,4,0.7160220994475138
311,THYROID,FLOW3,SGDClassifier,1,2,4,0.09281767955801105
312,THYROID,FLOW3,SGDClassifier,1,2,4,0.09281767955801105
313,THYROID,FLOW3,SGDClassifier,1,2,4,0.8265193370165745
314,THYROID,FLOW3,SGDClassifier,1,2,4,0.9447513812154696
315,THYROID,FLOW3,SGDClassifier,1,2,4,0.6685082872928176
316,THYROID,FLOW3,SGDClassifier,1,2,4,0.9458563535911603
317,THYROID,FLOW3,SGDClassifier,1,2,4,0.2276243093922652
318,THYROID,FLOW3,SGDClassifier,1,2,4,0.7668508287292818
319,THYROID,FLOW3,SGDClassifier,1,2,4,0.09281767955801105
320,THYROID,FLOW3,SGDClassifier,1,3,0,0.9104972375690608
321,THYROID,FLOW3,SGDClassifier,1,3,0,0.9414364640883978
322,THYROID,FLOW3,SGDClassifier,1,3,0,0.8729281767955801
323,THYROID,FLOW3,SGDClassifier,1,3,0,0.33038674033149174
324,THYROID,FLOW3,SGDClassifier,1,3,0,0.9337016574585635
325,THYROID,FLOW3,SGDClassifier,1,3,0,0.4718232044198895
326,THYROID,FLOW3,SGDClassifier,1,3,0,0.6287292817679558
327,THYROID,FLOW3,SGDClassifier,1,3,0,0.9292817679558011
328,THYROID,FLOW3,SGDClassifier,1,3,0,0.5215469613259669
329,THYROID,FLOW3,SGDClassifier,1,3,0,0.09502762430939227
330,THYROID,FLOW3,SGDClassifier,1,2,8,0.09281767955801105
331,THYROID,FLOW3,SGDClassifier,1,2,8,0.8143646408839779
332,THYROID,FLOW3,SGDClassifier,1,2,8,0.9414364640883978
333,THYROID,FLOW3,SGDClassifier,1,2,8,0.25524861878453037
334,THYROID,FLOW3,SGDClassifier,1,2,8,0.9392265193370166
335,THYROID,FLOW3,SGDClassifier,1,2,8,0.5403314917127072
336,THYROID,FLOW3,SGDClassifier,1,2,8,0.10497237569060773
337,THYROID,FLOW3,SGDClassifier,1,2,8,0.9458563535911603
338,THYROID,FLOW3,SGDClassifier,1,2,8,0.7436464088397791
339,THYROID,FLOW3,SGDClassifier,1,2,8,0.9469613259668508
340,THYROID,FLOW3,SGDClassifier,1,3,2,0.1005524861878453
341,THYROID,FLOW3,SGDClassifier,1,3,2,0.09281767955801105
342,THYROID,FLOW3,SGDClassifier,1,3,2,0.09281767955801105
343,THYROID,FLOW3,SGDClassifier,1,3,2,0.932596685082873
344,THYROID,FLOW3,SGDClassifier,1,3,2,0.09281767955801105
345,THYROID,FLOW3,SGDClassifier,1,3,2,0.09281767955801105
346,THYROID,FLOW3,SGDClassifier,1,3,2,0.9458563535911603
347,THYROID,FLOW3,SGDClassifier,1,3,2,0.09281767955801105
348,THYROID,FLOW3,SGDClassifier,1,3,2,0.7149171270718232
349,THYROID,FLOW3,SGDClassifier,1,3,2,0.09281767955801105
350,THYROID,FLOW3,SGDClassifier,1,0,2,0.9513812154696133
351,THYROID,FLOW3,SGDClassifier,1,0,2,0.39226519337016574
352,THYROID,FLOW3,SGDClassifier,1,0,2,0.09281767955801105
353,THYROID,FLOW3,SGDClassifier,1,0,2,0.09281767955801105
354,THYROID,FLOW3,SGDClassifier,1,0,2,0.9226519337016574
355,THYROID,FLOW3,SGDClassifier,1,0,2,0.20773480662983426
356,THYROID,FLOW3,SGDClassifier,1,0,2,0.9303867403314917
357,THYROID,FLOW3,SGDClassifier,1,0,2,0.9447513812154696
358,THYROID,FLOW3,SGDClassifier,1,0,2,0.8276243093922652
359,THYROID,FLOW3,SGDClassifier,1,0,2,0.09281767955801105
360,THYROID,FLOW3,SGDClassifier,1,3,8,0.9425414364640884
361,THYROID,FLOW3,SGDClassifier,1,3,8,0.09281767955801105
362,THYROID,FLOW3,SGDClassifier,1,3,8,0.09281767955801105
363,THYROID,FLOW3,SGDClassifier,1,3,8,0.09281767955801105
364,THYROID,FLOW3,SGDClassifier,1,3,8,0.09281767955801105
365,THYROID,FLOW3,SGDClassifier,1,3,8,0.09281767955801105
366,THYROID,FLOW3,SGDClassifier,1,3,8,0.09281767955801105
367,THYROID,FLOW3,SGDClassifier,1,3,8,0.09281767955801105
368,THYROID,FLOW3,SGDClassifier,1,3,8,0.09281767955801105
369,THYROID,FLOW3,SGDClassifier,1,3,8,0.09281767955801105
370,THYROID,FLOW3,SGDClassifier,1,0,8,0.9082872928176795
371,THYROID,FLOW3,SGDClassifier,1,0,8,0.7591160220994475
372,THYROID,FLOW3,SGDClassifier,1,0,8,0.9513812154696133
373,THYROID,FLOW3,SGDClassifier,1,0,8,0.9480662983425414
374,THYROID,FLOW3,SGDClassifier,1,0,8,0.23535911602209944
375,THYROID,FLOW3,SGDClassifier,1,0,8,0.9502762430939227
376,THYROID,FLOW3,SGDClassifier,1,0,8,0.5955801104972376
377,THYROID,FLOW3,SGDClassifier,1,0,8,0.9281767955801105
378,THYROID,FLOW3,SGDClassifier,1,0,8,0.9480662983425414
379,THYROID,FLOW3,SGDClassifier,1,0,8,0.6342541436464089
380,THYROID,FLOW3,SGDClassifier,1,0,4,0.7966850828729282
381,THYROID,FLOW3,SGDClassifier,1,0,4,0.507182320441989
382,THYROID,FLOW3,SGDClassifier,1,0,4,0.09502762430939227
